model,year_month,monthly_return,n_days
EWMA,2023-12,-0.003334732160746756,1
EWMA,2024-01,0.001560108855220399,21
EWMA,2024-02,0.017417322697396598,20
EWMA,2024-03,0.028085221556095163,20
EWMA,2024-04,-0.024267963906610568,22
EWMA,2024-05,0.023929572876081773,22
EWMA,2024-06,0.010400414071759512,19
EWMA,2024-07,0.021666497747817814,22
EWMA,2024-08,0.01374410537068349,22
EWMA,2024-09,0.011940832185437511,20
EWMA,2024-10,-0.01486337396090942,22
EWMA,2024-11,0.024926212054327657,19
EWMA,2024-12,-0.023335150809462912,21
EWMA,2025-01,0.021729658360264414,20
EWMA,2025-02,0.008706084585716312,19
EWMA,2025-03,-0.008603126848180986,21
EWMA,2025-04,-0.020771477345338907,21
EWMA,2025-05,0.008990293776461655,21
EWMA,2025-06,0.01820073638574682,20
EWMA,2025-07,0.0023188470133113093,22
EWMA,2025-08,0.015813948281262258,21
EWMA,2025-09,0.025204116570631818,21
EWMA,2025-10,0.0017300731638896227,22
EWMA,2025-11,0.0048106412121864395,18
EWMA,2025-12,0.0021144957636294315,22
XGBOOST,2023-12,-0.0028635996649511997,1
XGBOOST,2024-01,0.0004949346769680396,21
XGBOOST,2024-02,0.012665828427393278,20
XGBOOST,2024-03,0.026598667513214158,20
XGBOOST,2024-04,-0.01974026765914305,22
XGBOOST,2024-05,0.02139562839635767,22
XGBOOST,2024-06,0.008557677787407236,19
XGBOOST,2024-07,0.02004445440888669,22
XGBOOST,2024-08,0.013601065260104628,22
XGBOOST,2024-09,0.012169733231364166,20
XGBOOST,2024-10,-0.014307779996037606,22
XGBOOST,2024-11,0.02035156287210671,19
XGBOOST,2024-12,-0.024878948159546055,21
XGBOOST,2025-01,0.023377604209764424,20
XGBOOST,2025-02,0.009349305572038613,19
XGBOOST,2025-03,-0.007693274598475686,21
XGBOOST,2025-04,-0.025163715194081338,21
XGBOOST,2025-05,0.0105083008960698,21
XGBOOST,2025-06,0.021402426102027583,20
XGBOOST,2025-07,0.00335256174028431,22
